"Date","Link","Transaction","Month-Year"
"11/18/16","http://m.nationals.mlb.com/player/605474/matt-skole","Washington Nationals selected the contract of 1B Matt Skole from Syracuse Chiefs.","2016-11"
"11/18/16","http://m.nationals.mlb.com/player/608723/austin-voth","Washington Nationals selected the contract of RHP Austin Voth from Syracuse Chiefs.","2016-11"
"11/18/16","http://m.nationals.mlb.com/player/622441/rafael-bautista","Washington Nationals selected the contract of CF Rafael Bautista from Harrisburg Senators.","2016-11"
"11/19/16","http://m.nationals.mlb.com/player/543377/corban-joseph","2B Corban Joseph roster status changed by Washington Nationals.","2016-11"
"11/19/16","http://m.nationals.mlb.com/player/543377/corban-joseph","Washington Nationals signed free agent 2B Corban Joseph to a minor league contract and invited him to spring training.","2016-11"
"11/19/16","http://m.nationals.mlb.com/player/542316/braulio-lara","Washington Nationals signed free agent LHP Braulio Lara to a minor league contract and invited him to spring training.","2016-11"
"11/19/16","http://m.nationals.mlb.com/player/502317/chris-heisey","Washington Nationals signed free agent LF Chris Heisey.","2016-11"
"11/20/16","http://m.nationals.mlb.com/player/594811/derek-eitel","RHP Derek Eitel roster status changed by Washington Nationals.","2016-11"
"11/20/16","http://m.nationals.mlb.com/player/474319/brandon-snyder","Washington Nationals signed free agent OF Brandon Snyder to a minor league contract and invited him to spring training.","2016-11"
"11/20/16","http://m.nationals.mlb.com/player/594811/derek-eitel","Washington Nationals signed free agent RHP Derek Eitel to a minor league contract and invited him to spring training.","2016-11"
"11/22/16","http://m.nationals.mlb.com/player/542884/dustin-antolin","Washington Nationals signed free agent RHP Dustin Antolin to a minor league contract and invited him to spring training.","2016-11"
"11/22/16","http://m.nationals.mlb.com/player/594612/adderling-ruiz","Washington Nationals signed free agent C Adderling Ruiz to a minor league contract.","2016-11"
"11/23/16","http://m.nationals.mlb.com/player//","Philadelphia Phillies traded RHP Jimmy Cordero to Washington Nationals for Player To Be Named Later.","2016-11"
"11/23/16","http://m.nationals.mlb.com/player/622772/jimmy-cordero","Philadelphia Phillies traded RHP Jimmy Cordero to Washington Nationals for Player To Be Named Later.","2016-11"
"12/1/16","http://m.nationals.mlb.com/player/502089/brian-jeroloman","Washington Nationals signed free agent C Brian Jeroloman to a minor league contract.","2016-12"
"12/2/16","http://m.nationals.mlb.com/player/658648/pedro-avila","San Diego Padres traded C Derek Norris to Washington Nationals for RHP Pedro Avila.","2016-12"
"12/2/16","http://m.nationals.mlb.com/player/519083/derek-norris","San Diego Padres traded C Derek Norris to Washington Nationals for RHP Pedro Avila.","2016-12"
"12/2/16","http://m.nationals.mlb.com/player/519184/ben-revere","CF Ben Revere elected free agency.","2016-12"
